,date,open,high,low,close,volume
0,2024-06-17 08:00:00+00:00,178.77,179.81,178.17,178.74,18187.0
1,2024-06-17 08:05:00+00:00,178.71,178.71,178.68,178.7,12139.0
2,2024-06-17 08:10:00+00:00,178.68,179.12,178.68,179.12,10449.0
3,2024-06-17 08:15:00+00:00,179.06,179.06,178.63,178.75,14476.0
4,2024-06-17 08:20:00+00:00,178.8,178.8,178.52,178.53,7039.0
5,2024-06-17 08:25:00+00:00,178.61,178.69,178.48,178.64,8614.0
6,2024-06-17 08:30:00+00:00,178.52,178.6,178.26,178.29,14491.0
7,2024-06-17 08:35:00+00:00,178.3,178.38,178.25,178.3,8409.0
8,2024-06-17 08:40:00+00:00,178.37,178.37,178.01,178.15,19127.0
9,2024-06-17 08:45:00+00:00,178.19,178.2,178.09,178.1,6242.0
10,2024-06-17 08:50:00+00:00,178.2,178.21,178.16,178.2,2603.0
11,2024-06-17 08:55:00+00:00,178.18,178.45,178.18,178.43,5732.0
12,2024-06-17 09:00:00+00:00,178.44,178.49,178.3,178.34,7658.0
13,2024-06-17 09:05:00+00:00,178.29,178.4,178.29,178.4,3021.0
14,2024-06-17 09:10:00+00:00,178.31,178.32,178.19,178.19,3020.0
15,2024-06-17 09:20:00+00:00,178.25,178.26,178.23,178.26,1890.0
16,2024-06-17 09:25:00+00:00,178.26,178.36,178.26,178.36,2658.0
17,2024-06-17 09:30:00+00:00,178.36,178.36,178.23,178.23,3128.0
18,2024-06-17 09:35:00+00:00,178.3,179.0,178.23,178.9,26965.0
19,2024-06-17 09:40:00+00:00,178.74,178.95,178.55,178.88,12735.0
20,2024-06-17 09:45:00+00:00,178.88,178.9,178.75,178.75,6570.0
21,2024-06-17 09:50:00+00:00,178.86,178.86,178.75,178.75,3082.0
22,2024-06-17 09:55:00+00:00,178.78,178.78,178.65,178.65,4232.0
23,2024-06-17 10:00:00+00:00,178.7,178.71,178.5,178.5,5313.0
24,2024-06-17 10:05:00+00:00,178.5,178.57,178.3,178.36,10565.0
25,2024-06-17 10:10:00+00:00,178.38,178.38,178.31,178.35,3199.0
26,2024-06-17 10:15:00+00:00,178.31,178.39,178.31,178.37,4507.0
27,2024-06-17 10:20:00+00:00,178.33,178.39,178.32,178.32,2863.0
28,2024-06-17 10:25:00+00:00,178.36,178.4,178.33,178.33,4985.0
29,2024-06-17 10:30:00+00:00,178.31,178.4,178.31,178.4,4673.0
